id,business_name,category,city,address,phone,rating,reviews_count,website,source,latitude,longitude,business_status,created_at
218,"Raja, Barad and Hari",Education,Bengaluru,"94/36, Dugal Marg, Thoothukudi 304205",0060163969,,,,Sulekha,,,,
219,Goda PLC,Hospital,Pune,"H.No. 47, Shanker Circle, Bhagalpur-062422",+916254139184,,,,Sulekha,,,,
220,Master-Loke,IT Services,Ahmedabad,"H.No. 146, Doshi Nagar, Allahabad-878872",01912293228,,,,Google Maps,,,,
221,Gulati-Anne,Gym,Chennai,"55, Date Zila, Hapur-437739",+918418731417,,,,Sulekha,,,,
222,Rege-Patil,Plumber,Delhi,"12, Nigam Chowk, Ludhiana-422823",09904054383,,,,Google Maps,,,,
223,Bhatt LLC,Plumber,Ahmedabad,"66/793, Grover Chowk, Gurgaon-915851",3809808489,,,,Justdial,,,,
224,"Buch, Verma and Contractor",Education,Ahmedabad,"H.No. 356, Amble Ganj, Kishanganj-291355",+912401078942,,,,Google Maps,,,,
225,Ahuja-Deshmukh,Real Estate,Kolkata,"145, Gole Ganj, Jaipur-253469",+911821533174,,,,Google Maps,,,,
226,Dave-Raman,Real Estate,Delhi,"53, Bose Circle, Ongole 843889",+914458760332,,,,Justdial,,,,
227,Dugal-Kaul,Plumber,Ahmedabad,"860, Ratti Zila, Panvel-119770",9351836626,,,,Sulekha,,,,
228,"Lall, Kalla and Konda",Real Estate,Kolkata,"28/631, Garde Street, Maheshtala 534411",8022953467,,,,Justdial,,,,
229,"Varughese, Khalsa and Sodhi",Electrician,Pune,"77/444, Sem Ganj, Tumkur 250348",9304430533,,,,Justdial,,,,
230,Sangha Ltd,Plumber,Kolkata,"17/05, Barad Street, Gopalpur-239149",+917637787050,,,,Justdial,,,,
231,"Raja, Prashad and Nagy",Restaurant,Hyderabad,"41, Pall Path, Parbhani 051732",01562545042,,,,Sulekha,,,,
232,Kaul-Kulkarni,Electrician,Kolkata,"48/935, Muni Street, Pondicherry 882043",02586497559,,,,Sulekha,,,,
233,"Sibal, Raman and Datta",Real Estate,Chennai,"35/401, Mitra Road, Nizamabad 971559",8189812129,,,,Sulekha,,,,
234,"Gara, Hans and Jayaraman",Hospital,Ahmedabad,"H.No. 199, Jani Zila, Noida 174131",1139507331,,,,Justdial,,,,
235,"Uppal, Tailor and Butala",Hospital,Kolkata,"00/124, Som Street, Surendranagar Dudhrej 228154",+913402652166,,,,Sulekha,,,,
236,"Gaba, Borde and Mangal",Restaurant,Kolkata,"02, Virk Road, Bihar Sharif 846998",+913720872299,,,,Google Maps,,,,
237,Virk-Wali,Plumber,Pune,"83/18, Batra, Anand-500968",+916914822899,,,,Justdial,,,,
238,Shere and Sons,Hospital,Chennai,"10/15, Kapur Marg, Gangtok 814567",+911308250089,,,,Google Maps,,,,
239,Deep PLC,IT Services,Chennai,"331, Deol Zila, Bulandshahr-970050",8699893293,,,,Justdial,,,,
240,Kalla Ltd,Restaurant,Bengaluru,"18/473, Yadav Nagar, Ozhukarai-965172",09524465462,,,,Sulekha,,,,
241,Nayar Group,Real Estate,Delhi,"H.No. 81, Vasa Street, Tadipatri 758544",+911263254276,,,,Justdial,,,,
242,"Som, Nagi and Raman",Education,Pune,"77/430, Bahri Zila, Chandigarh-468361",+910901778576,,,,Sulekha,,,,
243,Dar-Talwar,Electrician,Pune,"81, Pai Nagar, Malda-409752",+915884045890,,,,Justdial,,,,
244,Krishnamurthy Ltd,Restaurant,Pune,"H.No. 07, Tara Circle, Howrah 513805",0903716634,,,,Sulekha,,,,
245,Ramachandran-Suri,Plumber,Kolkata,"H.No. 47, Wadhwa Marg, Sultan Pur Majra 717639",04508161879,,,,Sulekha,,,,
246,Salvi and Sons,Electrician,Pune,"77/04, Mistry Circle, Bilaspur-947071",02932233299,,,,Google Maps,,,,
247,Chakraborty-Kara,IT Services,Delhi,"32/115, Doshi Street, Delhi-635228",+913285352845,,,,Google Maps,,,,
248,Palan and Sons,Real Estate,Delhi,"H.No. 479, Ramaswamy Path, Bikaner 993269",05159031818,,,,Sulekha,,,,
249,Mane-Palan,Hospital,Kolkata,"H.No. 55, Dube Road, Gorakhpur 696100",+912138086426,,,,Justdial,,,,
250,Sule and Sons,Real Estate,Pune,"50/302, Sangha Chowk, Srinagar-914094",+910917883776,,,,Justdial,,,,
251,"Sharaf, Ramanathan and Wason",Real Estate,Kolkata,"505, Toor Chowk, Kalyan-Dombivli-773106",1628011646,,,,Justdial,,,,
252,Sachdev and Sons,Restaurant,Bengaluru,"51/723, Zachariah Ganj, Bhagalpur-715008",06952408911,,,,Sulekha,,,,
253,Khanna-Balan,Real Estate,Mumbai,"H.No. 392, Sahni Chowk, Rourkela 819924",5826843578,,,,Sulekha,,,,
254,Morar-Walia,IT Services,Bengaluru,"85/79, Khanna Chowk, Sasaram 788872",6063688393,,,,Justdial,,,,
255,"Palla, Mander and Cheema",Real Estate,Kolkata,"H.No. 00, Pandey Circle, Bijapur-699285",+917075034096,,,,Sulekha,,,,
256,Setty-Mangat,Electrician,Ahmedabad,"71/75, Chanda Nagar, Thrissur-551292",02261104415,,,,Sulekha,,,,
257,Gulati-Lad,IT Services,Hyderabad,"04/534, Krishnamurthy, Kolkata-716781",2227706643,,,,Justdial,,,,
258,Bhargava and Sons,Hospital,Ahmedabad,"53/926, Murthy Chowk, Davanagere 159227",+910539610735,,,,Google Maps,,,,
259,Vohra-Chauhan,Plumber,Chennai,"47/47, Kaur Nagar, Sirsa-669988",6794398221,,,,Google Maps,,,,
260,Kunda-Karpe,Plumber,Hyderabad,"H.No. 89, Swaminathan, Mysore-802070",3489115125,,,,Justdial,,,,
261,"Ramachandran, Chad and Deep",Hospital,Ahmedabad,"97/82, Barad Path, Gurgaon 359137",4193335811,,,,Sulekha,,,,
262,Walia-Nazareth,Electrician,Pune,"H.No. 15, Raja, Uluberia-375196",+911028730778,,,,Google Maps,,,,
263,"Baral, Edwin and Subramaniam",Hospital,Mumbai,"626, Narayan Marg, Thoothukudi-047036",06132542991,,,,Sulekha,,,,
264,Krish-Kothari,Real Estate,Chennai,"45/858, Mittal Chowk, Agra-857800",5046218991,,,,Justdial,,,,
265,"Om, Tandon and Sahota",Electrician,Mumbai,"69/515, Dugar Path, Korba 156668",06599287251,,,,Sulekha,,,,
266,Krishna LLC,Plumber,Delhi,"92, Kunda Chowk, Tirunelveli 341481",1861792027,,,,Sulekha,,,,
267,"Chhabra, Puri and Balay",Hospital,Ahmedabad,"847, Gola Road, Patna-693095",+914249892483,,,,Justdial,,,,
268,Malhotra-Chaudhry,Plumber,Chennai,"273, Andra, Barasat-643181",7805915714,,,,Sulekha,,,,
269,Sant-Dhar,Restaurant,Bengaluru,"H.No. 222, Apte Path, Ramagundam 052456",+914392843751,,,,Google Maps,,,,
270,"Kala, More and Kapadia",Real Estate,Hyderabad,"H.No. 078, Nath Ganj, Ranchi-328735",2587505525,,,,Justdial,,,,
271,Bahri-Handa,Real Estate,Delhi,"H.No. 48, Edwin Chowk, Ratlam-152406",+917253874223,,,,Sulekha,,,,
272,Chaudhari-Goswami,Plumber,Ahmedabad,"894, Rama Marg, Davanagere-839848",03309709370,,,,Google Maps,,,,
273,Jani Inc,Restaurant,Bengaluru,"799, Tailor Chowk, Udupi-659608",+914109265736,,,,Google Maps,,,,
274,Manne and Sons,Electrician,Chennai,"76/01, Sandal Street, Hajipur-183514",00564362021,,,,Justdial,,,,
275,"Tella, Minhas and Bassi",Plumber,Delhi,"25/33, Bedi, Tirupati-647198",+912741224676,,,,Sulekha,,,,
276,Dasgupta and Sons,Real Estate,Mumbai,"42/323, Bava Marg, Amaravati-578190",+915463104886,,,,Sulekha,,,,
277,"Dhar, Srinivas and Rege",Electrician,Chennai,"H.No. 35, Baria Ganj, Raichur-816848",02246903172,,,,Justdial,,,,
278,Parmer-Zacharia,Hospital,Ahmedabad,"07, Brar Street, Akola 473478",+913929976780,,,,Google Maps,,,,
279,Ramakrishnan and Sons,Gym,Bengaluru,"82/823, Naik, Kishanganj-078326",+913527744173,,,,Sulekha,,,,
280,"Dara, Murty and Issac",Electrician,Kolkata,"32, Lalla Street, Sasaram-791887",1816793927,,,,Justdial,,,,
281,Setty Group,IT Services,Kolkata,"36, Golla Zila, Thane 883469",09376380105,,,,Sulekha,,,,
282,Subramanian Inc,Plumber,Hyderabad,"68/50, Rai Street, Bilaspur 123245",+915142815138,,,,Sulekha,,,,
283,Sule-Mangat,Gym,Hyderabad,"20/37, Gopal Street, Jalandhar-957875",01880679316,,,,Justdial,,,,
284,Sane Ltd,Hospital,Bengaluru,"394, Lala Chowk, Patiala 007957",+918348380312,,,,Justdial,,,,
285,"Brar, Gupta and Kapur",IT Services,Bengaluru,"65, Sarin Street, Kottayam 103244",03962245799,,,,Google Maps,,,,
286,Sengupta-Varkey,Plumber,Delhi,"H.No. 19, Gill Zila, Ambala 096005",3222152845,,,,Google Maps,,,,
287,Brahmbhatt PLC,Education,Bengaluru,"H.No. 18, Kuruvilla Road, Junagadh 990434",03649804750,,,,Justdial,,,,
288,Sodhi Ltd,Plumber,Kolkata,"615, Padmanabhan, Kamarhati 228724",+912177518146,,,,Google Maps,,,,
289,"Bains, Dada and Dada",Electrician,Pune,"584, Munshi, Jammu 260433",04101072811,,,,Justdial,,,,
290,Bhatia-Soman,Hospital,Mumbai,"66/436, Talwar Chowk, Hosur 419898",4218261966,,,,Justdial,,,,
291,Murty Group,Gym,Pune,"306, Mohanty Marg, Unnao 294821",+914976861176,,,,Justdial,,,,
292,"Naidu, Kara and Vora",Electrician,Hyderabad,"51/515, Datta Marg, Durg 564793",+919755225121,,,,Google Maps,,,,
293,"Bedi, Bora and Rai",IT Services,Bengaluru,"H.No. 334, Dua Marg, Berhampore 830868",+916983250971,,,,Justdial,,,,
294,Kala-Borra,Real Estate,Bengaluru,"H.No. 787, Nigam Marg, Nagpur 558127",9425627532,,,,Google Maps,,,,
295,Kanda Group,Restaurant,Kolkata,"93/405, Keer Marg, Akola 528548",+910324738260,,,,Sulekha,,,,
296,Nadig Inc,Real Estate,Chennai,"09/02, Dhaliwal Ganj, Bareilly 508379",1902527498,,,,Google Maps,,,,
297,"Patil, Thakkar and Anne",Education,Kolkata,"08/800, Kota Chowk, Ichalkaranji-721783",6325896799,,,,Justdial,,,,
298,Ganesh-Bedi,Electrician,Bengaluru,"094, Bawa Street, Tiruvottiyur-113746",3326361215,,,,Google Maps,,,,
299,Zachariah-Tandon,Real Estate,Chennai,"39/35, Parikh, Hajipur-054012",08117301014,,,,Google Maps,,,,
300,Kade-Jani,Restaurant,Ahmedabad,"H.No. 87, Tiwari Nagar, Tenali-238530",+912684576497,,,,Justdial,,,,
301,"Bahl, Chand and Sharaf",Plumber,Bengaluru,"H.No. 03, Dhar Chowk, Agartala 934061",7761770530,,,,Google Maps,,,,
302,Bhatia PLC,IT Services,Kolkata,"55/58, Narayanan Ganj, Kolkata-804642",3413561698,,,,Sulekha,,,,
303,Aggarwal and Sons,IT Services,Pune,"H.No. 29, Iyer Chowk, Yamunanagar-640369",4029382096,,,,Justdial,,,,
304,Ranganathan-Varma,Education,Mumbai,"95/313, Ramanathan Marg, Gwalior-540656",7114405234,,,,Google Maps,,,,
305,Khare-Kant,Real Estate,Delhi,"H.No. 04, Narain Ganj, Satna 388512",8599371696,,,,Justdial,,,,
306,"Prashad, Tak and Wable",Hospital,Mumbai,"H.No. 492, Karnik Chowk, Belgaum 267281",+915883010023,,,,Sulekha,,,,
307,"Kar, Jayaraman and Bal",Restaurant,Mumbai,"519, Parsa Marg, Jabalpur-832044",06645089250,,,,Justdial,,,,
308,Cherian and Sons,Education,Pune,"60/95, Shroff Chowk, Howrah 573533",+919595623497,,,,Google Maps,,,,
309,Subramaniam-Bhandari,Hospital,Bengaluru,"H.No. 948, Agrawal Path, Hyderabad-817223",06987491662,,,,Sulekha,,,,
310,Trivedi-Chaudry,IT Services,Pune,"900, Puri, Singrauli 431162",02677572708,,,,Justdial,,,,
311,"Bhatti, Chada and Deol",Electrician,Hyderabad,"H.No. 283, Maharaj Nagar, Silchar 462634",1275877098,,,,Sulekha,,,,
312,"Tandon, Sachdeva and Nazareth",Plumber,Delhi,"64, Bava Road, Begusarai-439159",5240323649,,,,Sulekha,,,,
313,Shetty-Barman,Restaurant,Delhi,"115, Badami Chowk, Delhi-453797",5087273820,,,,Google Maps,,,,
314,Dube Ltd,Gym,Pune,"11/32, De Ganj, Ghaziabad-237503",04278521779,,,,Google Maps,,,,
315,"Dalal, Khatri and Vasa",Hospital,Pune,"H.No. 032, Oza Nagar, Sonipat 678824",+914055261202,,,,Google Maps,,,,
316,"Ganguly, Dewan and Bhakta",Plumber,Delhi,"370, Kata, Kottayam 249889",06016453617,,,,Sulekha,,,,
317,Gandhi-Samra,Electrician,Kolkata,"309, Kibe Nagar, Bhubaneswar 329609",8042496825,,,,Sulekha,,,,
318,"Salvi, Mane and Nazareth",Plumber,Mumbai,"04, Buch Ganj, Mahbubnagar 277677",3244184290,,,,Google Maps,,,,
319,Kata-Merchant,Gym,Hyderabad,"86/764, Shah Chowk, Amaravati-493670",7714496388,,,,Justdial,,,,
320,Goel-Rana,Education,Bengaluru,"H.No. 221, Din Ganj, Singrauli-364080",7024544118,,,,Google Maps,,,,
321,"Krishnan, Bora and Thaman",Electrician,Delhi,"08/92, Anne Zila, Jalandhar-071804",9087445579,,,,Justdial,,,,
322,Setty PLC,IT Services,Hyderabad,"329, Tailor Ganj, Rajkot-650958",+916104096805,,,,Sulekha,,,,
323,"Issac, Ramaswamy and Sen",IT Services,Ahmedabad,"H.No. 27, Shah Marg, Kirari Suleman Nagar 535042",5479104782,,,,Justdial,,,,
324,Parmar-Arya,Electrician,Chennai,"H.No. 40, Walia Nagar, Pali 354192",7371289922,,,,Google Maps,,,,
325,Kulkarni-Srinivasan,IT Services,Kolkata,"24/666, Nayak Street, Jodhpur-953767",07754361937,,,,Sulekha,,,,
326,Taneja Inc,Electrician,Delhi,"924, Srinivas Street, Udupi 791400",+910298186858,,,,Justdial,,,,
327,Butala PLC,Restaurant,Pune,"05, Sastry Road, Navi Mumbai-083499",+914096573837,,,,Justdial,,,,
328,Sule-Singhal,Gym,Mumbai,"46/286, Oza Marg, Thrissur 781388",03273362176,,,,Sulekha,,,,
329,"Sidhu, Pandit and Walia",Restaurant,Kolkata,"02/726, Pal Marg, Bardhaman-583397",8966737868,,,,Google Maps,,,,
330,Samra Inc,Gym,Chennai,"H.No. 29, Hora Nagar, Kadapa 593690",8060406564,,,,Google Maps,,,,
331,Das Inc,Gym,Ahmedabad,"04/10, Gola Circle, Kurnool 699332",05815419732,,,,Google Maps,,,,
332,"Pandya, Rout and Mital",Restaurant,Bengaluru,"002, Dora Path, Singrauli 322788",0944566091,,,,Google Maps,,,,
333,"Manda, Sharma and Cheema",Electrician,Chennai,"H.No. 04, Swaminathan, Kurnool-622751",02979480635,,,,Justdial,,,,
334,Divan Inc,Real Estate,Bengaluru,"10, Oak Zila, Guntur-449273",8261830938,,,,Google Maps,,,,
335,Munshi-Vaidya,Hospital,Bengaluru,"H.No. 22, Ahluwalia Road, Bijapur 009826",+918080244199,,,,Google Maps,,,,
336,Sinha-Prasad,Electrician,Ahmedabad,"H.No. 353, Madan Circle, Indore-408400",+917225589648,,,,Sulekha,,,,
337,Sani Ltd,Gym,Pune,"H.No. 73, Vora Street, Shimoga-673040",+912400386187,,,,Google Maps,,,,
338,Baria Ltd,Hospital,Delhi,"07/79, Kohli Nagar, Katihar 750279",01516568787,,,,Sulekha,,,,
339,Devan-More,Plumber,Delhi,"65/32, Kari Zila, Panihati-746919",0148030713,,,,Sulekha,,,,
340,Kalita PLC,Real Estate,Delhi,"H.No. 282, Saxena Chowk, Rewa 850672",09701858873,,,,Sulekha,,,,
341,Suri-Bains,Real Estate,Delhi,"01/031, Badal Nagar, Vadodara-558983",0761812490,,,,Justdial,,,,
342,"Boase, Deshpande and Khare",Real Estate,Mumbai,"25, Aurora Chowk, Nadiad 126052",06224343417,,,,Justdial,,,,
343,Kota and Sons,IT Services,Bengaluru,"H.No. 51, Dey Street, Agra 873294",3846114804,,,,Google Maps,,,,
344,"Kapadia, Vohra and Nagy",Real Estate,Hyderabad,"973, Ganguly Marg, Motihari-824718",+910471945300,,,,Sulekha,,,,
345,Dutt-Peri,Education,Chennai,"773, Swaminathan, Bhopal 382483",09359510919,,,,Google Maps,,,,
346,Hans-Sarin,Real Estate,Delhi,"08, Bose Zila, Vasai-Virar-934513",+912793962031,,,,Google Maps,,,,
347,Date Group,Education,Mumbai,"70/30, Sane Ganj, Barasat 234982",+913299142199,,,,Justdial,,,,
348,Kala-Ben,IT Services,Hyderabad,"857, Maharaj Nagar, Jaipur-191411",4480647150,,,,Justdial,,,,
349,Khurana-Murty,Electrician,Pune,"31, Ravi Ganj, Visakhapatnam 858973",+913723507434,,,,Google Maps,,,,
350,"Kar, Kaur and Saran",Gym,Pune,"00, Aurora Chowk, Kolhapur-536580",09744223609,,,,Justdial,,,,
351,Mall-Deep,Gym,Pune,"97/69, Panchal, Mehsana-736650",4094250916,,,,Sulekha,,,,
352,"Banerjee, Sodhi and Bhasin",Real Estate,Bengaluru,"H.No. 054, Puri Circle, Eluru-679914",4555468475,,,,Google Maps,,,,
353,Rastogi and Sons,Education,Mumbai,"01/931, Bail Road, Noida-863401",04135195983,,,,Sulekha,,,,
354,"Choudhary, Ramanathan and Murthy",Electrician,Chennai,"89/42, Majumdar Path, Sirsa-248998",06275007857,,,,Google Maps,,,,
355,"Shere, Joshi and Gara",Hospital,Ahmedabad,"432, Chhabra Ganj, Shahjahanpur 709075",02023487603,,,,Google Maps,,,,
356,"Munshi, Mitra and Chokshi",Real Estate,Ahmedabad,"98/822, Loyal Marg, Burhanpur 863175",4271700112,,,,Google Maps,,,,
357,Bail and Sons,Real Estate,Bengaluru,"03/88, Lalla, Surat 598191",05346070524,,,,Google Maps,,,,
358,Roy-Dixit,IT Services,Hyderabad,"852, Bhakta Zila, Jammu-248275",+913080059334,,,,Google Maps,,,,
359,Bandi Group,Gym,Hyderabad,"42/39, Bhasin Road, Saharanpur-283032",9484911568,,,,Google Maps,,,,
360,"Lala, Deol and Sant",IT Services,Pune,"32/247, Kothari Zila, Bhiwani-847543",+919526575188,,,,Justdial,,,,
361,Natt-Pandit,Gym,Hyderabad,"27/50, Malhotra Nagar, Ongole 352445",1011583975,,,,Sulekha,,,,
362,Pal Inc,Gym,Hyderabad,"014, Toor Road, Aligarh 416559",8806550593,,,,Sulekha,,,,
363,Kala Group,Electrician,Bengaluru,"252, Pal Chowk, Buxar-315833",5552320426,,,,Google Maps,,,,
364,Dugar Group,Restaurant,Bengaluru,"H.No. 42, Sethi Road, Kolhapur-003995",03315437538,,,,Sulekha,,,,
365,Palla Group,Hospital,Bengaluru,"59/64, Rai Path, Bhavnagar 964386",3987875530,,,,Justdial,,,,
366,Bath Ltd,Electrician,Pune,"407, Brar Zila, Navi Mumbai-601157",0535325746,,,,Google Maps,,,,
367,Dutta Ltd,Restaurant,Bengaluru,"H.No. 74, Lall Nagar, Fatehpur-323398",04177844367,,,,Justdial,,,,
368,"Srinivasan, Khosla and Chandran",Gym,Mumbai,"38, Walia, Bilaspur 805465",+916577127550,,,,Justdial,,,,
369,Chawla and Sons,IT Services,Chennai,"H.No. 17, Jayaraman Road, Bhilai 368336",1660064326,,,,Sulekha,,,,
370,"Sha, Cheema and Majumdar",Education,Chennai,"71/15, Johal Road, Agartala-257394",08030484131,,,,Justdial,,,,
371,Shukla LLC,Electrician,Delhi,"72, Mann Chowk, Durg-187353",6382102809,,,,Sulekha,,,,
372,Dhar Inc,Hospital,Hyderabad,"862, Kannan Circle, Visakhapatnam 356767",06831865585,,,,Google Maps,,,,
373,Chatterjee Inc,Education,Mumbai,"43/208, Srivastava Road, Dehri 353983",4343087943,,,,Google Maps,,,,
374,Kade Ltd,IT Services,Bengaluru,"H.No. 67, Prabhakar Zila, Rajkot 143314",01203302291,,,,Justdial,,,,
375,Gill-Amble,Real Estate,Chennai,"14/09, Handa Path, Farrukhabad-359698",+918554610092,,,,Google Maps,,,,
376,Johal Group,IT Services,Delhi,"H.No. 004, Dutta Path, Barasat-102416",03035681247,,,,Justdial,,,,
377,Dasgupta LLC,Hospital,Hyderabad,"H.No. 652, Prabhakar Chowk, Gopalpur 514535",0723033291,,,,Sulekha,,,,
378,Patla-Nagi,Gym,Delhi,"33/58, Barman Marg, Chittoor-037482",+916289787663,,,,Justdial,,,,
379,"Aggarwal, Dasgupta and Balasubramanian",Plumber,Chennai,"H.No. 65, Sami Street, Kulti-307188",+910421231482,,,,Google Maps,,,,
380,Wason Group,Plumber,Delhi,"H.No. 870, Chana Road, Bharatpur 645756",2969786436,,,,Google Maps,,,,
381,"Khosla, Viswanathan and Balay",Plumber,Chennai,"H.No. 480, Buch Chowk, Bhatpara-744611",9181899143,,,,Sulekha,,,,
382,"Tandon, Ramaswamy and Loyal",Electrician,Bengaluru,"H.No. 963, Sarin Zila, Shimoga 832447",9066791550,,,,Google Maps,,,,
383,"Prasad, Gole and Parsa",Electrician,Kolkata,"H.No. 33, Sodhi, Bellary 873289",00439710204,,,,Justdial,,,,
384,Nanda-Lanka,Gym,Mumbai,"39, Bajwa, Tirupati 606340",06992167015,,,,Justdial,,,,
385,Bhardwaj LLC,Plumber,Delhi,"706, Luthra Chowk, Sultan Pur Majra 267297",09357716629,,,,Justdial,,,,
386,Bhargava PLC,Real Estate,Bengaluru,"04/545, Basu Marg, Aurangabad-470083",+910600929212,,,,Sulekha,,,,
387,Menon and Sons,Education,Mumbai,"77, Tata Ganj, Haldia 577304",+919039080844,,,,Justdial,,,,
388,Batta LLC,Hospital,Bengaluru,"571, Cheema Chowk, Muzaffarpur-884909",7417111383,,,,Google Maps,,,,
389,Kothari-Patel,Gym,Hyderabad,"50/094, Khalsa Ganj, Latur 451304",+910874339291,,,,Justdial,,,,
390,Merchant Ltd,Gym,Bengaluru,"10/36, Jhaveri Path, Kottayam 822988",1845869631,,,,Google Maps,,,,
391,Mani-Grewal,Electrician,Chennai,"H.No. 40, Pall Nagar, Kottayam-401124",+917420699601,,,,Justdial,,,,
392,Shetty Ltd,Education,Bengaluru,"H.No. 551, Raman Path, Satara 757306",+918022377259,,,,Sulekha,,,,
393,Khalsa-Manda,Electrician,Ahmedabad,"21/926, Babu, Thrissur 579419",+919858016431,,,,Sulekha,,,,
394,"Badami, Tailor and Ratti",Real Estate,Chennai,"43, Mital Chowk, Bhilwara-368864",06626147561,,,,Sulekha,,,,
395,"Choudhary, Dugal and Chhabra",IT Services,Bengaluru,"H.No. 557, Devan Zila, Gandhidham-072967",1380380011,,,,Google Maps,,,,
396,"Kalla, Saraf and Swamy",Hospital,Pune,"13/04, Thakur Road, Jamshedpur-602409",+912083444939,,,,Justdial,,,,
397,"Shanker, Mital and Khanna",Real Estate,Chennai,"H.No. 522, Gopal Zila, Bulandshahr 882448",+919929801941,,,,Sulekha,,,,
398,Suri Inc,Gym,Mumbai,"H.No. 33, Bawa Chowk, Agra 414532",+910099002005,,,,Justdial,,,,
399,Thakkar-Choudhry,Restaurant,Delhi,"59/817, Sur Ganj, Serampore-847981",+914209825548,,,,Sulekha,,,,
400,Prakash-Virk,Hospital,Ahmedabad,"63/488, Minhas, Gulbarga 887768",0648899040,,,,Google Maps,,,,
401,Morar-Sachar,Education,Delhi,"14/80, Murthy Path, Barasat 486357",+916107192571,,,,Google Maps,,,,
402,"Varma, Uppal and Vyas",Hospital,Delhi,"194, Deo Marg, Bhalswa Jahangir Pur 785200",3516054305,,,,Sulekha,,,,
403,Pillay-Barad,Restaurant,Delhi,"255, Nigam Road, Naihati-954134",+917193527710,,,,Google Maps,,,,
404,Kalla Group,Education,Ahmedabad,"443, Kothari, Khandwa-290596",3647011547,,,,Google Maps,,,,
405,Bhargava Ltd,Gym,Kolkata,"25/294, Sehgal Zila, Tumkur-308240",07760422342,,,,Justdial,,,,
406,"Kapur, Gupta and Chadha",Electrician,Kolkata,"H.No. 90, Khurana Circle, Bhagalpur 385921",1571355213,,,,Google Maps,,,,
407,Kota-Salvi,Hospital,Kolkata,"365, Shetty Ganj, Ratlam 070219",5676960035,,,,Google Maps,,,,
408,"Naik, Pillay and Edwin",Restaurant,Bengaluru,"H.No. 380, Brar Path, Nagpur-033221",4137507451,,,,Google Maps,,,,
409,Rana-Som,Electrician,Delhi,"H.No. 364, Madan Road, Bardhaman 712944",3750574469,,,,Sulekha,,,,
410,Chokshi-Sood,Electrician,Pune,"H.No. 74, Dash Circle, Bongaigaon-739999",+915581897288,,,,Justdial,,,,
411,Dugar Group,Gym,Chennai,"30/19, Shanker Zila, Firozabad 076361",02569048705,,,,Sulekha,,,,
412,"Ramakrishnan, Dubey and Raman",Gym,Mumbai,"28/701, Mangal Marg, Khora  678784",4408573171,,,,Sulekha,,,,
413,Gera Ltd,Electrician,Mumbai,"48/847, Sankar Zila, Jalna-116513",00176034366,,,,Sulekha,,,,
414,Narayan-Vaidya,Restaurant,Chennai,"H.No. 07, Parmer Road, Pimpri-Chinchwad-794048",07809389179,,,,Sulekha,,,,
415,Toor and Sons,Electrician,Bengaluru,"81/376, Srinivasan Zila, Bhavnagar-549736",06841942012,,,,Justdial,,,,
416,Wagle Inc,Real Estate,Kolkata,"39, Bhardwaj Circle, Hazaribagh 942196",+911763210269,,,,Google Maps,,,,
417,"Khare, Devan and Shroff",IT Services,Bengaluru,"H.No. 246, Sabharwal Path, Chandigarh 696636",04836554790,,,,Google Maps,,,,
418,"Agarwal, Pingle and Subramaniam",Education,Hyderabad,"60/167, Agarwal Chowk, Kota-364783",+915918994159,,,,Sulekha,,,,
419,Mann Inc,Restaurant,Hyderabad,"H.No. 13, Trivedi Road, Panipat-848803",2270517665,,,,Justdial,,,,
420,"Choudhury, Lalla and Yohannan",Restaurant,Mumbai,"H.No. 746, Kata Ganj, Davanagere-628149",2788407815,,,,Justdial,,,,
421,"Swamy, Kumar and Dhar",IT Services,Ahmedabad,"H.No. 65, Murty Ganj, Berhampur 046292",+913147113231,,,,Sulekha,,,,
422,"Golla, Mohan and Rajagopalan",Electrician,Mumbai,"67/22, Sibal Street, Kirari Suleman Nagar-663062",04540679106,,,,Justdial,,,,
423,"Mitra, Goel and Mand",Plumber,Hyderabad,"62/923, Padmanabhan Zila, Panvel 311087",00361867062,,,,Justdial,,,,
424,Sekhon-Khanna,Restaurant,Kolkata,"72/02, Bora Circle, Raurkela Industrial Township-705850",8332838407,,,,Google Maps,,,,
425,Vig-Bhat,Real Estate,Pune,"65/31, Mane Road, Uluberia 194284",05159246444,,,,Justdial,,,,
426,"Palla, Singhal and Chander",Electrician,Kolkata,"H.No. 29, Parekh Zila, Begusarai-308217",05159661713,,,,Justdial,,,,
427,"Sandal, Bala and Brar",Hospital,Mumbai,"14, Pall Ganj, Srinagar 403527",5802768208,,,,Google Maps,,,,
428,Konda-Kulkarni,Real Estate,Hyderabad,"94, Chauhan Nagar, Srinagar 329367",+918124641769,,,,Justdial,,,,
429,Palla-Borah,Plumber,Chennai,"H.No. 778, Sura Road, Madanapalle 437026",3612352255,,,,Justdial,,,,
430,Som-Palla,Hospital,Delhi,"H.No. 883, Jayaraman, Guna-946371",+911706641310,,,,Sulekha,,,,
431,Chand PLC,Restaurant,Bengaluru,"47/387, Bhatnagar Marg, Sagar-572231",08903896896,,,,Sulekha,,,,
432,Wali Inc,Hospital,Pune,"98/933, Deo Zila, Ramagundam 709526",+913221508538,,,,Sulekha,,,,
433,Baria PLC,IT Services,Ahmedabad,"H.No. 582, Sibal Marg, Amroha 217481",5118400689,,,,Sulekha,,,,
